date,year,company,interval
July 19, 2007,Parakey,0
June 23, 2008,ConnectU,0
August 10, 2009,FriendFeed,0
February 19, 2010,Octazen,0
March 2, 2010,Divvyshot,0
May 13, 2010,Friendster,0
May 26, 2010,ShareGrove,0
July 8, 2010, Nextstop,0
August 15, 2010, Chai Labs,0
August 20, 2010,Hot Potato,0
October 29, 2010,Drop.io,0
January 25, 2011,Rel8tion,0
March 2, 2011,Beluga,0
March 20, 2011,Snaptu,0
March 24, 2011,RecRec,0
April 27, 2011,DayTum,0
June 9, 2011,MailRank,,0
June 9, 2011,Sofa,0
August 2, 2011,Push Pop Press,0
October 10, 2011,Friend.ly,0
November 8, 2011,Strobe,0
December 2, 2011,Gowalla,0
April 9, 2012,Instagram,0
April 13, 2012,Tagtile,0
May 5, 2012,Glancee,0
May 15, 2012,Lightbox,0
May 21, 2012,Karma,0
June 18, 2012,Face.com,0
July 14, 2012, Spool,0
July 20, 2012,Acrylic Software,0
August 24, 2012, Threadsy,0